Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Amount($)
21/08/2021 09:05,EOSUSDT,BUY,5.51,14.4900000000EOS,79.89930900USDT,0.0001314900BNB,79.899309
20/08/2021 22:45,ONEUSDT,BUY,0.11,379.9000000000ONE,42.44622700USDT,0.0000705600BNB,42.446227
20/08/2021 19:42,ERNUSDT,BUY,22.23,0.9000000000ERN,20.00340000USDT,0.0000340200BNB,20.0034
20/08/2021 19:15,LINKUSDT,BUY,28.37,1.9690000000LINK,55.86446800USDT,0.0000939500BNB,55.864468
18/08/2021 14:44,ETHUSDT,BUY,3068.47,0.0338100000ETH,103.74497070USDT,0.0001932200BNB,103.7449707
08/08/2021 20:50,ETHUSDT,SELL,2983.31,0.0344100000ETH,102.65569710USDT,0.0002265900BNB,102.6556971
25/07/2021 15:38,SANDUSDT,SELL,0.71,58.9000000000SAND,41.74066300USDT,0.0001058900BNB,41.740663
25/07/2021 15:13,SOLUSDT,SELL,27.17,0.7200000000SOL,19.55952000USDT,0.0000495600BNB,19.55952
24/07/2021 11:11,MANAUSDT,SELL,0.72,27.8300000000MANA,20.00698700USDT,0.0000495600BNB,20.006987
24/07/2021 11:11,MANAUSDT,SELL,0.72,14.0500000000MANA,10.10054500USDT,0.0000250200BNB,10.100545
24/07/2021 11:11,MANAUSDT,SELL,0.72,2.1400000000MANA,1.53844600USDT,0.0000038100BNB,1.538446
24/07/2021 11:11,MANAUSDT,SELL,0.72,14.0500000000MANA,10.10054500USDT,0.0000250200BNB,10.100545
24/07/2021 11:11,MANAUSDT,SELL,0.72,14.0500000000MANA,10.10054500USDT,0.0000250200BNB,10.100545
24/07/2021 11:06,LINKUSDT,SELL,16.81,2.3740000000LINK,39.91643600USDT,0.0000989400BNB,39.916436
24/07/2021 11:01,MATICUSDT,SELL,0.92,50.9000000000MATIC,46.93794400USDT,0.0001163500BNB,46.937944
19/07/2021 17:11,THETAUSDT,BUY,4.03,9.9230000000THETA,39.99961300USDT,0.0001052400BNB,39.999613
19/07/2021 17:05,LINKUSDT,BUY,14.58,0.6710000000LINK,9.78452200USDT,0.0000258000BNB,9.784522
19/07/2021 17:05,LINKUSDT,BUY,14.58,2.0670000000LINK,30.14099400USDT,0.0000794900BNB,30.140994
17/07/2021 23:09,1INCHUSDT,BUY,2.01,10.14000000001INCH,20.37531600USDT,0.0000510600BNB,20.375316
17/07/2021 17:49,MATICUSDT,BUY,0.8,50.0000000000MATIC,40.04500000USDT,0.0001001100BNB,40.045
12/07/2021 17:56,AXSUSDT,SELL,17.73,1.1800000000AXS,20.92364200USDT,0.0000498700BNB,20.923642
07/07/2021 09:19,AXSUSDT,SELL,13.31,1.5100000000AXS,20.09115400USDT,0.0000456400BNB,20.091154
