Name,Date,Symbol,Open,High,Low,Close,Volume AVAX
Avalanche,22/09/2020,AVAX,0.85,7,0.85,5.3193,31441883.16
Avalanche,23/09/2020,AVAX,5.3279,5.36,3.4,3.535,12620608.01
Avalanche,24/09/2020,AVAX,3.5305,4.8873,3.4033,4.6411,7107843.86
Avalanche,25/09/2020,AVAX,4.6366,5.0234,4.2001,4.7134,3886096.71
Avalanche,26/09/2020,AVAX,4.7164,4.82,4.3294,4.52,1814932.97
Avalanche,27/09/2020,AVAX,4.5214,4.7134,4.1068,4.6484,1500134.56
Avalanche,28/09/2020,AVAX,4.6485,4.705,4.1667,4.2021,1210446.38
Avalanche,29/09/2020,AVAX,4.1999,4.2899,3.9607,4.1394,1057878.53
Avalanche,30/09/2020,AVAX,4.1429,4.411,3.9958,4.3293,915518.31
Avalanche,01/10/2020,AVAX,4.3293,4.53,4.014,4.15,1477288.72
Avalanche,02/10/2020,AVAX,4.1422,4.2198,3.6332,3.9115,1847614.48
Avalanche,03/10/2020,AVAX,3.9156,4.19,3.8696,4.0168,679798.03
Avalanche,04/10/2020,AVAX,4.0202,4.0798,3.8334,3.964,630849.97
Avalanche,05/10/2020,AVAX,3.9582,4.0456,3.87,3.9813,475912.76
Avalanche,06/10/2020,AVAX,3.9949,4,3.5,3.5424,971155.87
Avalanche,07/10/2020,AVAX,3.5401,3.5462,3.207,3.442,988661.32
Avalanche,08/10/2020,AVAX,3.4409,3.9599,3.3228,3.9147,900977.83
Avalanche,09/10/2020,AVAX,3.9147,4.3252,3.8034,4.2491,573063.37
Avalanche,10/10/2020,AVAX,4.2427,4.2693,4.0001,4.023,821315.35
Avalanche,11/10/2020,AVAX,4.0205,4.1762,3.9333,4.096,542437.49
Avalanche,12/10/2020,AVAX,4.0841,4.71,4.054,4.41,851811.15
Avalanche,13/10/2020,AVAX,4.4099,4.5636,4.3203,4.4806,776819.51
Avalanche,14/10/2020,AVAX,4.4808,4.4848,4.0125,4.1596,512479.12
Avalanche,15/10/2020,AVAX,4.15,4.2312,3.9985,4.1269,306544.02
Avalanche,16/10/2020,AVAX,4.1266,4.1582,3.8755,4.0433,538055.06
Avalanche,17/10/2020,AVAX,4.0462,4.21,3.9673,4.1946,258634.77
Avalanche,18/10/2020,AVAX,4.1874,4.2461,4.0701,4.1195,138296.5
Avalanche,19/10/2020,AVAX,4.1371,4.1748,3.9926,4.05,274925.09
Avalanche,20/10/2020,AVAX,4.0568,4.0908,3.6925,3.804,589447.62
Avalanche,21/10/2020,AVAX,3.8007,4.103,3.7918,3.9585,319446.86
Avalanche,22/10/2020,AVAX,3.9574,4.4904,3.9511,4.3385,741499.28
Avalanche,23/10/2020,AVAX,4.3406,4.4872,4.1354,4.2568,324892.94
Avalanche,24/10/2020,AVAX,4.2539,4.362,4.14,4.1821,218601.98
Avalanche,25/10/2020,AVAX,4.1803,4.2526,4.1,4.1479,209663.9
Avalanche,26/10/2020,AVAX,4.1409,4.4897,4.0141,4.148,661155.33
Avalanche,27/10/2020,AVAX,4.1454,4.35,4.0343,4.1217,292754.21
Avalanche,28/10/2020,AVAX,4.1214,4.1792,3.9308,4.0596,359147.72
Avalanche,29/10/2020,AVAX,4.0607,4.1051,3.7296,3.7758,422589.86
Avalanche,30/10/2020,AVAX,3.7744,3.8226,3.5781,3.7224,850092.33
Avalanche,31/10/2020,AVAX,3.7116,3.7612,3.5876,3.6456,346114.94
Avalanche,01/11/2020,AVAX,3.6355,3.7142,3.5521,3.6814,295468.18
Avalanche,02/11/2020,AVAX,3.6851,3.8775,3.6145,3.617,322604.28
Avalanche,03/11/2020,AVAX,3.6174,3.6513,3.2368,3.323,664899.75
Avalanche,04/11/2020,AVAX,3.3299,3.3759,3,3.1718,466205.93
Avalanche,05/11/2020,AVAX,3.1736,3.3841,3.0211,3.3348,644688.78
Avalanche,06/11/2020,AVAX,3.335,3.6666,3.3194,3.5913,910038.31
Avalanche,07/11/2020,AVAX,3.594,3.9193,3.37,3.4126,832528.78
Avalanche,08/11/2020,AVAX,3.4093,3.67,3.3613,3.4754,543130.62
Avalanche,09/11/2020,AVAX,3.4674,3.5399,3.2619,3.4125,534923.49
Avalanche,10/11/2020,AVAX,3.421,3.63,3.369,3.5713,482731.01
Avalanche,11/11/2020,AVAX,3.5775,3.82,3.46,3.4842,389355.68
Avalanche,12/11/2020,AVAX,3.4918,3.5691,3.32,3.4243,314355.65
Avalanche,13/11/2020,AVAX,3.4268,3.7018,3.3911,3.6745,585394.03
Avalanche,14/11/2020,AVAX,3.6779,3.7042,3.396,3.4894,443020.54
Avalanche,15/11/2020,AVAX,3.484,3.6415,3.4101,3.5453,438362.91
Avalanche,16/11/2020,AVAX,3.5348,3.82,3.455,3.7,658000.76
Avalanche,17/11/2020,AVAX,3.7062,3.9333,3.6881,3.8355,490826.18
Avalanche,18/11/2020,AVAX,3.8476,3.8739,3.55,3.7445,531913.49
Avalanche,19/11/2020,AVAX,3.7498,3.8272,3.5563,3.6399,386309.17
Avalanche,20/11/2020,AVAX,3.6432,4.0111,3.6224,3.715,657029.12
Avalanche,21/11/2020,AVAX,3.7124,4.0983,3.67,4.0281,557225
Avalanche,22/11/2020,AVAX,4.0291,4.0602,3.71,3.8892,562448.53
Avalanche,23/11/2020,AVAX,3.9066,4.2575,3.8519,4.0747,611842.99
Avalanche,24/11/2020,AVAX,4.0748,4.3334,3.865,4.26,855854.35
Avalanche,25/11/2020,AVAX,4.26,4.3989,3.9001,4.0453,763623.28
Avalanche,26/11/2020,AVAX,4.0363,4.089,3.28,3.5447,1011308.69
Avalanche,27/11/2020,AVAX,3.5399,3.7581,3.4178,3.5942,382067.49
Avalanche,28/11/2020,AVAX,3.5903,3.6998,3.4752,3.6271,256600.45
Avalanche,29/11/2020,AVAX,3.6299,3.7662,3.531,3.7013,222772.03
Avalanche,30/11/2020,AVAX,3.7124,3.82,3.6418,3.7024,266744.6
Avalanche,01/12/2020,AVAX,3.7044,3.8128,3.4501,3.5543,453003.61
Avalanche,02/12/2020,AVAX,3.55,3.8458,3.5059,3.74,255368.39
Avalanche,03/12/2020,AVAX,3.7384,3.8966,3.7103,3.8123,217818.87
Avalanche,04/12/2020,AVAX,3.8076,3.86,3.5091,3.5348,306354.06
Avalanche,05/12/2020,AVAX,3.5337,3.7182,3.5059,3.6382,176697.58
Avalanche,06/12/2020,AVAX,3.6384,3.6733,3.5077,3.6055,198916.73
Avalanche,07/12/2020,AVAX,3.6036,3.6096,3.3,3.3895,319608.12
Avalanche,08/12/2020,AVAX,3.3896,3.3948,3.085,3.1172,947986.45
Avalanche,09/12/2020,AVAX,3.1185,3.4411,2.8001,3.2652,1491988.4
Avalanche,10/12/2020,AVAX,3.2644,3.3583,3.0643,3.1499,1121704.58
Avalanche,11/12/2020,AVAX,3.1482,3.307,3.0131,3.2375,740274.35
Avalanche,12/12/2020,AVAX,3.232,3.45,3.2318,3.3332,695480.54
Avalanche,13/12/2020,AVAX,3.3409,3.4173,3.2806,3.3405,598125.27
Avalanche,14/12/2020,AVAX,3.3401,3.3424,3.1357,3.1433,1041542.84
Avalanche,15/12/2020,AVAX,3.1439,3.5441,3.06,3.3014,899508.23
Avalanche,16/12/2020,AVAX,3.3012,3.3844,3.1451,3.3409,660892.42
Avalanche,17/12/2020,AVAX,3.3444,3.3823,3.1761,3.2079,634136.04
Avalanche,18/12/2020,AVAX,3.2068,3.4737,3.1424,3.4081,642895.11
Avalanche,19/12/2020,AVAX,3.4081,3.6076,3.3783,3.4651,506114.81
Avalanche,20/12/2020,AVAX,3.458,3.498,3.2755,3.304,415890.15
Avalanche,21/12/2020,AVAX,3.3041,3.3564,2.925,3.0892,827256.68
Avalanche,22/12/2020,AVAX,3.0922,3.1331,2.9198,3.0761,488812.87
Avalanche,23/12/2020,AVAX,3.0705,3.6937,2.7501,2.9465,2874448.39
Avalanche,24/12/2020,AVAX,2.9525,3.1153,2.7679,3.1006,910977.44
Avalanche,25/12/2020,AVAX,3.1171,3.1301,2.84,2.9517,870245.85
Avalanche,26/12/2020,AVAX,2.9497,2.9975,2.85,2.9178,475916.53
Avalanche,27/12/2020,AVAX,2.9223,3.0759,2.8401,2.9026,566733.02
Avalanche,28/12/2020,AVAX,2.9168,3.0496,2.8685,2.9577,932674.77
Avalanche,29/12/2020,AVAX,2.9609,3.01,2.8322,2.9248,831346.83
Avalanche,30/12/2020,AVAX,2.925,2.94,2.8327,2.9162,443153.2
Avalanche,31/12/2020,AVAX,2.9166,3.2997,2.78,3.1859,861034.14
Avalanche,01/01/2021,AVAX,3.1859,3.86,3.0178,3.6497,3817118.74
Avalanche,02/01/2021,AVAX,3.6544,3.939,3.2851,3.4956,1768205.15
Avalanche,03/01/2021,AVAX,3.5005,3.83,3.3916,3.4691,989465.26
Avalanche,04/01/2021,AVAX,3.477,3.83,3.2283,3.5999,1242545.27
Avalanche,05/01/2021,AVAX,3.5999,4.3556,3.4703,4.2501,2403396.82
Avalanche,06/01/2021,AVAX,4.2502,4.9773,4.1361,4.5788,2925158.25
Avalanche,07/01/2021,AVAX,4.5803,4.8205,4.1827,4.4707,1471492.75
Avalanche,08/01/2021,AVAX,4.4728,5.9,4,5.7,3037659.66
Avalanche,09/01/2021,AVAX,5.6999,7.487,5.5761,7.1877,4060100.24
Avalanche,10/01/2021,AVAX,7.2115,7.4969,6.15,6.5416,1865913.15
Avalanche,11/01/2021,AVAX,6.541,7,5.72,6.4713,2065125.52
Avalanche,12/01/2021,AVAX,6.4623,8.2356,6.4198,7.72,3138438.02
Avalanche,13/01/2021,AVAX,7.7254,8.5,7.1356,8.4695,1712008.71
Avalanche,14/01/2021,AVAX,8.4693,9.6004,8.21,9.3177,2550051.08
Avalanche,15/01/2021,AVAX,9.3192,9.89,8.57,9.3794,1991192.96
Avalanche,16/01/2021,AVAX,9.3795,13.4991,9.1629,12.8421,3898717.61
Avalanche,17/01/2021,AVAX,12.8222,14.69,12.3231,13.1746,3568856.68
Avalanche,18/01/2021,AVAX,13.1748,13.858,12.5737,12.7035,1317372.42
Avalanche,19/01/2021,AVAX,12.6825,14,11.3433,11.7367,1846921.9
Avalanche,20/01/2021,AVAX,11.7346,13.0765,11.03,12.3768,1515429.53
Avalanche,21/01/2021,AVAX,12.3768,13.0147,11.0659,11.3225,1710782.31
Avalanche,22/01/2021,AVAX,11.3329,13.3899,10.673,12.7097,2250602.42
Avalanche,23/01/2021,AVAX,12.7153,13.48,12.5059,12.8669,1224349.08
Avalanche,24/01/2021,AVAX,12.8914,13.1725,12.2,12.4801,907179.12
Avalanche,25/01/2021,AVAX,12.4801,12.95,12.0598,12.1816,613873.67
