Name,Date,Symbol,Open,High,Low,Close,Volume BTC
Bitcoin,22/09/2020,BTC,10417.22,10572.71,10353,10529.61,43991.23548
Bitcoin,23/09/2020,BTC,10529.61,10537.15,10136.82,10241.46,51876.56808
Bitcoin,24/09/2020,BTC,10241.46,10795.24,10190.93,10736.32,57676.61943
Bitcoin,25/09/2020,BTC,10736.33,10760.53,10556.24,10686.67,48101.11701
Bitcoin,26/09/2020,BTC,10686.57,10820.94,10644.68,10728.6,28420.83666
Bitcoin,27/09/2020,BTC,10728.59,10799,10594.82,10774.25,30549.48325
Bitcoin,28/09/2020,BTC,10774.26,10950,10626,10696.12,50095.25173
Bitcoin,29/09/2020,BTC,10696.11,10867.54,10635.87,10840.48,41874.8984
Bitcoin,30/09/2020,BTC,10840.58,10849.34,10665.13,10776.59,39596.02732
Bitcoin,01/10/2020,BTC,10776.59,10920,10437,10619.13,60866.33289
Bitcoin,02/10/2020,BTC,10619.13,10664.64,10374,10570.4,50130.39371
Bitcoin,03/10/2020,BTC,10570.4,10603.56,10496.46,10542.06,22298.22134
Bitcoin,04/10/2020,BTC,10542.07,10696.87,10517.87,10666.63,23212.0016
Bitcoin,05/10/2020,BTC,10666.62,10798,10615.64,10792.21,34025.76165
Bitcoin,06/10/2020,BTC,10792.2,10800,10525,10599.66,48674.74047
Bitcoin,07/10/2020,BTC,10599.65,10681.87,10546.17,10666.39,32811.99028
Bitcoin,08/10/2020,BTC,10666.4,10950,10530.41,10925.57,51959.69157
Bitcoin,09/10/2020,BTC,10925.44,11104.64,10829,11050.64,48240.07324
Bitcoin,10/10/2020,BTC,11050.64,11491,11050.51,11293.22,43648.03694
Bitcoin,11/10/2020,BTC,11293.22,11445,11221,11369.02,29043.85134
Bitcoin,12/10/2020,BTC,11369.02,11720.01,11172,11528.25,52825.28371
Bitcoin,13/10/2020,BTC,11528.24,11557,11300,11420.56,42205.28371
Bitcoin,14/10/2020,BTC,11420.57,11547.98,11280,11417.89,41415.10602
Bitcoin,15/10/2020,BTC,11417.89,11617.34,11250.83,11505.12,48760.71768
Bitcoin,16/10/2020,BTC,11505.13,11541.15,11200,11319.32,48797.7495
Bitcoin,17/10/2020,BTC,11319.24,11402.42,11255,11360.2,22368.91524
Bitcoin,18/10/2020,BTC,11360.31,11505,11346.22,11503.14,23284.04119
Bitcoin,19/10/2020,BTC,11503.14,11823.99,11407.96,11751.47,47414.53469
Bitcoin,20/10/2020,BTC,11751.46,12038.38,11677.59,11909.99,62134.75066
Bitcoin,21/10/2020,BTC,11910,13217.68,11886.95,12780.96,114584.4568
Bitcoin,22/10/2020,BTC,12780.75,13185,12678.08,12968.52,70038.82414
Bitcoin,23/10/2020,BTC,12968.84,13027.69,12720.08,12923.07,50386.99984
Bitcoin,24/10/2020,BTC,12923.06,13166.73,12870,13111.73,35952.20907
Bitcoin,25/10/2020,BTC,13111.73,13350,12888,13028.83,38481.5795
Bitcoin,26/10/2020,BTC,13029.64,13238.81,12765,13052.19,60951.67299
Bitcoin,27/10/2020,BTC,13052.15,13789.29,13019.87,13636.17,80796.554
Bitcoin,28/10/2020,BTC,13636.16,13859.48,12888,13266.4,94440.56123
Bitcoin,29/10/2020,BTC,13266.4,13642.91,12920.77,13455.7,74872.60213
Bitcoin,30/10/2020,BTC,13455.69,13669.98,13115,13560.1,70657.77888
Bitcoin,31/10/2020,BTC,13560.1,14100,13411.5,13791,67339.23852
Bitcoin,01/11/2020,BTC,13791,13895,13603,13761.5,36285.64853
Bitcoin,02/11/2020,BTC,13761.49,13830,13195.05,13549.37,64566.42191
Bitcoin,03/11/2020,BTC,13549.63,14066.11,13284.99,14023.53,74115.63079
Bitcoin,04/11/2020,BTC,14023.53,14259,13525,14144.01,93016.98826
Bitcoin,05/11/2020,BTC,14144.01,15750,14093.56,15590.02,143741.5227
Bitcoin,06/11/2020,BTC,15590.02,15960,15166,15579.92,122618.1977
Bitcoin,07/11/2020,BTC,15579.93,15753.52,14344.22,14818.3,101431.2066
Bitcoin,08/11/2020,BTC,14818.3,15650,14703.88,15475.1,65547.17857
Bitcoin,09/11/2020,BTC,15475.1,15840,14805.54,15328.41,108976.3341
Bitcoin,10/11/2020,BTC,15328.41,15460,15072.46,15297.21,61681.91961
Bitcoin,11/11/2020,BTC,15297.21,15965,15272.68,15684.24,78469.74646
