Name,Date,Symbol,Open,High,Low,Close,Volume LINK
Chainlink,22/09/2020,LINK,8.7162,9.08,8.54,8.7401,8384112.37
Chainlink,23/09/2020,LINK,8.744,8.8016,7.2869,7.6364,18221835.52
Chainlink,24/09/2020,LINK,7.6404,10.53,7.4761,9.87,26948146.31
Chainlink,25/09/2020,LINK,9.8701,11.199,9.3771,10.7279,20220142.07
Chainlink,26/09/2020,LINK,10.7218,11.1,9.9757,10.3169,12020281.92
Chainlink,27/09/2020,LINK,10.3079,10.991,9.9122,10.7939,10053108.71
Chainlink,28/09/2020,LINK,10.8,11.07,10.15,10.283,8731492.42
Chainlink,29/09/2020,LINK,10.2809,10.3882,9.4502,10.135,13378180.79
Chainlink,30/09/2020,LINK,10.1356,10.2314,9.5768,9.8694,6665669.78
Chainlink,01/10/2020,LINK,9.8727,10.4119,9.2457,9.6394,9704023.92
Chainlink,02/10/2020,LINK,9.6394,9.8449,8.7975,9.2167,11180624.68
Chainlink,03/10/2020,LINK,9.2132,9.5555,9.104,9.269,4805191.52
Chainlink,04/10/2020,LINK,9.2686,9.466,9.1141,9.3922,4665626.69
Chainlink,05/10/2020,LINK,9.3906,9.72,9.2629,9.6176,6217366.67
Chainlink,06/10/2020,LINK,9.6134,9.658,8.563,8.7689,7424722.62
Chainlink,07/10/2020,LINK,8.769,9.01,8.3817,8.9799,7543306.98
Chainlink,08/10/2020,LINK,8.9801,9.6909,8.4016,9.5594,10913109.33
Chainlink,09/10/2020,LINK,9.5519,10.5254,9.3701,10.3959,11276147.45
Chainlink,10/10/2020,LINK,10.3923,10.92,10.37,10.5198,9504046.97
Chainlink,11/10/2020,LINK,10.5168,11.0258,10.15,10.8515,8174876.86
Chainlink,12/10/2020,LINK,10.8515,11.8028,10.6807,11.4259,11882241.47
Chainlink,13/10/2020,LINK,11.4259,11.5833,10.5221,11.0016,9695225.65
Chainlink,14/10/2020,LINK,11.0016,11.3536,10.6201,10.8896,7758446.61
Chainlink,15/10/2020,LINK,10.8896,10.9317,10.455,10.7483,6983355.76
Chainlink,16/10/2020,LINK,10.7472,10.8935,10.2694,10.5877,6662666.86
Chainlink,17/10/2020,LINK,10.5867,10.7149,10.4082,10.6267,3322174.05
Chainlink,18/10/2020,LINK,10.6254,11,10.6,10.9409,3679623.94
Chainlink,19/10/2020,LINK,10.9435,11.2226,10.651,10.9147,4474849.31
Chainlink,20/10/2020,LINK,10.9116,10.9349,9.7665,9.8589,7095706.59
Chainlink,21/10/2020,LINK,9.8589,11.1372,9.7864,10.7863,8276637.42
Chainlink,22/10/2020,LINK,10.7805,12.4173,10.7142,11.9539,10308176.43
Chainlink,23/10/2020,LINK,11.9551,12.264,11.5784,12.1586,8789968.21
Chainlink,24/10/2020,LINK,12.1592,12.95,11.9839,12.7001,7538193.48
Chainlink,25/10/2020,LINK,12.7002,12.8574,11.908,12.1481,7000941.96
Chainlink,26/10/2020,LINK,12.148,12.4472,11.2594,11.7096,8858167.82
Chainlink,27/10/2020,LINK,11.7086,12.4774,11.49,11.9224,7621232.43
Chainlink,28/10/2020,LINK,11.921,12.16,11.15,11.4403,8020300.25
Chainlink,29/10/2020,LINK,11.4448,11.81,11.0816,11.2772,8541785.18
Chainlink,30/10/2020,LINK,11.2743,11.4811,10.72,11.09,7960249.95
Chainlink,31/10/2020,LINK,11.0947,11.3981,10.9053,11.2277,4971547.22
Chainlink,01/11/2020,LINK,11.2259,11.5885,11.0181,11.5722,3872679.99
Chainlink,02/11/2020,LINK,11.5681,11.685,10.7049,10.7814,6924910.69
Chainlink,03/11/2020,LINK,10.7814,10.7814,9.9454,10.3911,9964299.86
Chainlink,04/11/2020,LINK,10.3982,10.675,9.75,10.4713,8587173.03
Chainlink,05/11/2020,LINK,10.473,11.2749,10.0764,10.9794,10634722.28
Chainlink,06/11/2020,LINK,10.9822,12.2813,10.9286,12.1687,10971288.73
Chainlink,07/11/2020,LINK,12.1686,13.5956,11.3123,11.7638,24928180.96
Chainlink,08/11/2020,LINK,11.7668,13.1,11.477,12.71,12949524.47
Chainlink,09/11/2020,LINK,12.7083,13.0026,12.04,12.5107,12660359.23
Chainlink,10/11/2020,LINK,12.5182,13.278,12.3156,13.0017,12355950.65
Chainlink,11/11/2020,LINK,13.0017,13.4293,12.75,12.753,9416548.92
Chainlink,12/11/2020,LINK,12.753,13.0956,12.27,12.4038,8920340.53
Chainlink,13/11/2020,LINK,12.4038,13,12.3079,12.8687,7892649.62
Chainlink,14/11/2020,LINK,12.8679,12.9335,12.3,12.5574,5010394.11
Chainlink,15/11/2020,LINK,12.557,12.6484,11.8156,12.1192,5716347.24
Chainlink,16/11/2020,LINK,12.1199,12.8132,11.9971,12.6223,5982803.38
Chainlink,17/11/2020,LINK,12.6204,13.4228,12.5414,13.3944,11150763.55
Chainlink,18/11/2020,LINK,13.3943,14.2669,12.585,13.5598,18517527.67
Chainlink,19/11/2020,LINK,13.5602,14,13.0111,13.6187,9805683.27
Chainlink,20/11/2020,LINK,13.6117,14.477,13.4618,14.0933,11203096.77
Chainlink,21/11/2020,LINK,14.0913,15.5,13.6876,15.4511,14003272.57
Chainlink,22/11/2020,LINK,15.4408,15.7179,13.8402,14.5098,14244002.32
Chainlink,23/11/2020,LINK,14.5098,15.425,14.252,15.2746,12472333.45
Chainlink,24/11/2020,LINK,15.2648,16.39,14.943,15.6703,15636471.17
Chainlink,25/11/2020,LINK,15.6637,15.86,13.79,14.2016,9521564.1
